Club Name,Pitch Name,Latitude,Longitude,Province,Country,Division,County,Directions,Twitter,Elevation,Annual Rainfall,Rain Days,Uses VEO,VEO Recordings,VEO Club Identifier
Annaduff GAA,Stanley Cox Park,53.89416200,-7.95129900,Connacht,Ireland,Leitrim,Leitrim,"https://maps.google.com/?daddr=53.894162,-7.951299",https://twitter.com/annaduffgaa,74.00,1025.80,266.00,false,0,
Annaghminnon Rovers GAA,Páirc Annaghminnon,53.96569000,-6.60197900,Leinster,Ireland,Louth,Louth,"https://maps.google.com/?daddr=53.96569,-6.601979",,42.00,838.20,243.00,false,0,
Annanough,Páirc Ánach na nEach,53.05173500,-7.09118100,Leinster,Ireland,Laois,Laois,"https://maps.google.com/?daddr=53.051735,-7.091181",https://twitter.com/annanoughgaa,65.00,831.70,246.00,false,0,
Annascaul,,52.15306600,-10.04768500,Munster,Ireland,Kerry,Kerry,"https://maps.google.com/?daddr=52.153066,-10.047685",https://twitter.com/annascaulgaa,50.00,1813.90,285.00,false,0,
"An Ríocht GAA, Greencastle","Páirc na Rochta, Dunavil",54.04927900,-6.03574100,Ulster,United Kingdom,Down,Down,"https://maps.google.com/?daddr=54.049279,-6.035741",,27.00,955.92,277.00,false,0,
An Tochar GAA,,53.05926300,-6.22998300,Leinster,Ireland,Wicklow,Wicklow,"https://maps.google.com/?daddr=53.059263,-6.229983",https://twitter.com/antochargaa,236.00,1110.70,246.00,false,0,
Antrim GAA,Casement Park,54.57330600,-5.98398600,Ulster,United Kingdom,Antrim,Antrim,"https://maps.google.com/?daddr=54.573306,-5.983986",,22.00,981.90,260.00,false,0,
Aodh Ruadh GAA,Father Tierney Park,54.49814400,-8.19186900,Ulster,Ireland,Donegal,Donegal,"https://maps.google.com/?daddr=54.498144,-8.191869",https://twitter.com/aodhruadh,21.00,1394.60,285.00,false,0,
Araglen,,52.20665300,-8.08551100,Munster,Ireland,Cork,Cork,"https://maps.google.com/?daddr=52.206653,-8.085511",https://twitter.com/araglengaa,106.00,1263.40,259.00,false,0,
Ardagh GAA,Ardagh,54.12397000,-9.25255500,Connacht,Ireland,Mayo,Mayo,"https://maps.google.com/?daddr=54.12397,-9.252555",https://twitter.com/ardagh_gaa,21.00,1225.10,286.00,false,0,
Ardagh Moydow,Keenan Park,53.66964900,-7.70596300,Leinster,Ireland,Longford,Longford,"https://maps.google.com/?daddr=53.669649,-7.705963",https://twitter.com/ardaghgfc,103.00,969.80,271.00,false,0,
Ardagh Moydow,Moydow,53.66669500,-7.77991100,Leinster,Ireland,Longford,Longford,"https://maps.google.com/?daddr=53.666695,-7.779911",https://twitter.com/moydowgaa,83.00,969.80,271.00,false,0,
Ardara GAA,Pearse Park,54.76972200,-8.41648700,Ulster,Ireland,Donegal,Donegal,"https://maps.google.com/?daddr=54.769722,-8.416487",https://twitter.com/ardaragaa,6.00,1596.27,309.00,false,0,
Ardclough,,53.29748700,-6.56542000,Leinster,Ireland,Kildare,Kildare,"https://maps.google.com/?daddr=53.297487,-6.56542",,70.00,833.80,251.00,false,0,
Ardfert,,52.33123400,-9.77816700,Munster,Ireland,Kerry,Kerry,"https://maps.google.com/?daddr=52.331234,-9.778167",https://twitter.com/ardfertgaakerry,10.00,1396.40,280.00,false,0,
Ardfinnan,,52.31838200,-7.86447800,Munster,Ireland,Tipperary,Tipperary,"https://maps.google.com/?daddr=52.318382,-7.864478",https://twitter.com/ardfinnangaa,60.00,1039.40,248.00,false,0,
Ardglass GAA,Ardtole Park,54.26802500,-5.59380000,Ulster,United Kingdom,Down,Down,"https://maps.google.com/?daddr=54.268025,-5.5938",https://twitter.com/ardglassgac,17.00,840.10,242.00,false,0,
Ardmore,,51.95835500,-7.72769700,Munster,Ireland,Waterford,Waterford,"https://maps.google.com/?daddr=51.958355,-7.727697",https://twitter.com/ardmoregaa,16.00,1233.00,248.00,false,0,
Ardnaree Sarsfields,Sean Duffy Park,54.11177600,-9.14224400,Connacht,Ireland,Mayo,Mayo,"https://maps.google.com/?daddr=54.111776,-9.142244",https://twitter.com/ardnareesarsgaa,20.00,1268.40,293.00,false,0,
Ardrahan,,53.15673000,-8.80274000,Connacht,Ireland,Galway,Galway,"https://maps.google.com/?daddr=53.15673,-8.80274",,35.00,1158.00,275.00,false,0,
Argideen Rangers,Timoleague,51.63865300,-8.77648900,Munster,Ireland,Cork,Cork,"https://maps.google.com/?daddr=51.638653,-8.776489",https://twitter.com/argideenrangers,23.00,1449.20,256.00,false,0,
Arklow Geraldines Ballymoney GAA,Pearse's Park,52.80119600,-6.16957800,Leinster,Ireland,Wicklow,Wicklow,"https://maps.google.com/?daddr=52.801196,-6.169578",https://twitter.com/agbarklow,7.00,1095.50,246.00,false,0,
Arklow Geraldines Ballymoney GAA,Ballymoney Pitch,52.82096210,-6.17813710,Leinster,Ireland,Wicklow,Wicklow,"https://maps.google.com/?daddr=52.8209621,-6.1781371",https://twitter.com/agbarklow,59.00,1095.50,246.00,false,0,
Arklow Rock Parnells GAA,,52.79012400,-6.17628000,Leinster,Ireland,Wicklow,Wicklow,"https://maps.google.com/?daddr=52.790124,-6.17628",,39.00,1052.90,238.00,false,0,
Arles-Kilcruise,,52.89488300,-7.02589900,Leinster,Ireland,Laois,Laois,"https://maps.google.com/?daddr=52.894883,-7.025899",,123.00,934.80,261.00,false,0,
Arles-Killeen,Rossena,52.89283300,-6.99585000,Leinster,Ireland,Laois,Laois,"https://maps.google.com/?daddr=52.892833,-6.99585",https://twitter.com/arleskilleengfc,65.00,897.60,252.00,false,0,
Armagh GAA,Athletic Grounds,54.34354100,-6.66238500,Ulster,United Kingdom,Armagh,Armagh,"https://maps.google.com/?daddr=54.343541,-6.662385",,42.00,872.70,254.00,false,0,
Armagh Harps,Abbey Park,54.35883200,-6.66149100,Ulster,United Kingdom,Armagh,Armagh,"https://maps.google.com/?daddr=54.358832,-6.661491",https://twitter.com/ArmaghHarpsGFC,54.00,871.79,277.00,false,0,
Arranmore GAA,Gairmscoil McDiarmada,54.98566000,-8.49248800,Ulster,Ireland,Donegal,Donegal,"https://maps.google.com/?daddr=54.98566, -8.492488",https://twitter.com/ArranmoreGAA,,1828.71,308.00,false,0,
Arravale Rovers,Sean Treacy Park,52.46900700,-8.15853500,Munster,Ireland,Tipperary,Tipperary,"https://maps.google.com/?daddr=52.469007,-8.158535",https://twitter.com/arravalerovers,97.00,1076.70,249.00,false,0,
"Art McMurrough's GAA, Belnaleck",Belnaleck GAA Grounds,54.29011100,-7.67272700,Ulster,United Kingdom,Fermanagh,Fermanagh,"https://maps.google.com/?daddr=54.290111,-7.672727",https://twitter.com/belnaleckgac,51.00,1098.11,296.00,false,0,
Asca,Presentation College,52.83871500,-6.90745800,Leinster,Ireland,Carlow,Carlow,"https://maps.google.com/?daddr=52.838715,-6.907458",https://twitter.com/ascajuve,57.00,877.20,242.00,false,0,
Asdee,,52.54083800,-9.55145000,Munster,Ireland,Kerry,Kerry,"https://maps.google.com/?daddr=52.540838,-9.55145",https://twitter.com/asdee_gaa,69.00,1269.20,277.00,false,0,
Ashford GAA,,53.01232800,-6.10953400,Leinster,Ireland,Wicklow,Wicklow,"https://maps.google.com/?daddr=53.012328,-6.109534",https://twitter.com/ashfordgaa1884,24.00,1110.70,246.00,false,0,
Askamore-Kilrush,,52.64304300,-6.55579300,Leinster,Ireland,Wexford,Wexford,"https://maps.google.com/?daddr=52.643043,-6.555793",https://twitter.com/kilaskgaa,89.00,1065.10,252.00,false,0,
Askeaton,,52.59932500,-8.96763100,Munster,Ireland,Limerick,Limerick,"https://maps.google.com/?daddr=52.599325,-8.967631",,15.00,1067.00,254.00,false,0,
Athea,Páirc na nGael,52.46308800,-9.27276100,Munster,Ireland,Limerick,Limerick,"https://maps.google.com/?daddr=52.463088,-9.272761",https://twitter.com/atheagaa,114.00,1208.20,271.00,false,0,
Athgarvan,,53.14889900,-6.80098900,Leinster,Ireland,Kildare,Kildare,"https://maps.google.com/?daddr=53.148899,-6.800989",https://twitter.com/athgarvan_gaa,111.00,862.00,263.00,false,0,
Athleague GAA,Athleague GAA Pitch,53.57451500,-8.26749000,Connacht,Ireland,Roscommon,Roscommon,"https://maps.google.com/?daddr=53.574515,-8.26749",https://twitter.com/athleaguegaa,53.00,1032.60,263.00,false,0,
Athlone,Páirc Chiarán,53.42845800,-7.92683800,Leinster,Ireland,Westmeath,Westmeath,"https://maps.google.com/?daddr=53.428458,-7.926838",https://twitter.com/athlonegaa,43.00,961.10,262.00,false,0,
Athy,,52.99299300,-6.96973500,Leinster,Ireland,Kildare,Kildare,"https://maps.google.com/?daddr=52.992993,-6.969735",https://twitter.com/athygfc,65.00,904.20,245.00,false,0,
Atticall GAA,Holy Cross Park,54.10535000,-6.06206300,Ulster,United Kingdom,Down,Down,"https://maps.google.com/?daddr=54.10535,-6.062063",https://twitter.com/atticallgac,112.00,1184.14,283.00,false,0,
Aughavas GAA,Páirc Achadh an Mheasa,53.95939700,-7.72381600,Connacht,Ireland,Leitrim,Leitrim,"https://maps.google.com/?daddr=53.959397,-7.723816",https://twitter.com/gaaaughavas,66.00,1051.30,268.00,false,0,
Aughawillan GAA,,54.09145500,-7.75850200,Connacht,Ireland,Leitrim,Leitrim,"https://maps.google.com/?daddr=54.091455,-7.758502",https://twitter.com/AughawillanGAA,60.00,1155.90,264.00,false,0,
Aughlisnafin GAA,Annsborough,54.26224600,-5.91886000,Ulster,United Kingdom,Down,Down,"https://maps.google.com/?daddr=54.262246,-5.91886",https://twitter.com/AughlisnafinGAC,28.00,1235.59,278.00,false,0,
Aughnamullen Sarsfields,Páirc Sháirséil,54.06228000,-6.81379000,Ulster,Ireland,Monaghan,Monaghan,"https://maps.google.com/?daddr=54.06228,-6.81379",https://twitter.com/aughnamullengaa,164.00,949.10,258.00,false,0,
Aughnasheelin GAA,,54.06478700,-7.86461800,Connacht,Ireland,Leitrim,Leitrim,"https://maps.google.com/?daddr=54.064787,-7.864618",https://twitter.com/aughnasheelingc,78.00,1354.60,286.00,false,0,
Aughrim GAA,,52.85255400,-6.33516400,Leinster,Ireland,Wicklow,Wicklow,"https://maps.google.com/?daddr=52.852554,-6.335164",,71.00,1095.50,246.00,false,0,
Austin Stacks,Connolly Park,52.27660400,-9.71299700,Munster,Ireland,Kerry,Kerry,"https://maps.google.com/?daddr=52.276604,-9.712997",https://twitter.com/austinstacksgaa,7.00,1354.50,277.00,false,0,
Avoca GAA,,52.85374300,-6.21591900,Leinster,Ireland,Wicklow,Wicklow,"https://maps.google.com/?daddr=52.853743,-6.215919",https://twitter.com/GaaAvoca,24.00,1095.50,246.00,false,0,
Avondale GAA,,52.92306700,-6.24191500,Leinster,Ireland,Wicklow,Wicklow,"https://maps.google.com/?daddr=52.923067,-6.241915",https://twitter.com/avondale_gaa,150.00,1164.50,252.00,false,0,
Bailieborough Shamrocks,St. Ann's Park,53.92576500,-6.96982700,Ulster,Ireland,Cavan,Cavan,"https://maps.google.com/?daddr=53.925765,-6.969827",https://twitter.com/BailieboroS,135.00,988.71,286.00,false,0,
Balla GAA,P W Nally Park,53.80312000,-9.14206000,Connacht,Ireland,Mayo,Mayo,"https://maps.google.com/?daddr=53.80312,-9.14206",https://twitter.com/ballagaaclub,49.00,1225.90,275.00,false,0,
Ballaghaderreen GAA,Ballaghaderreen GAA Park,53.89892680,-8.59583590,Connacht,Ireland,Mayo,Mayo,"https://maps.google.com/?daddr=53.8989268,-8.5958359",https://twitter.com/ballagh_gaa,86.00,1128.80,273.00,false,0,
Ballela GAA,Hillen's Meadow,54.35467900,-6.14846900,Ulster,United Kingdom,Down,Down,"https://maps.google.com/?daddr=54.354679,-6.148469",https://twitter.com/ballelagac,140.00,953.61,276.00,false,0,
Ballina,Ballina,52.81531400,-8.44001900,Munster,Ireland,Tipperary,Tipperary,"https://maps.google.com/?daddr=52.815314,-8.440019",https://twitter.com/ballinagaa,63.00,1106.40,263.00,false,0,
Ballinabrackey GAA,,53.39638700,-7.10849400,Leinster,Ireland,Meath,Meath,"https://maps.google.com/?daddr=53.396387,-7.108494",https://twitter.com/ballinabrackey1,72.00,851.40,255.00,false,0,
Ballinabranna,Páirc Liam Dobbs,52.78621100,-6.98510600,Leinster,Ireland,Carlow,Carlow,"https://maps.google.com/?daddr=52.786211,-6.985106",https://twitter.com/ballinabrannagc,91.00,878.00,245.00,false,0,
Ballinacor GAA,,52.94656200,-6.33326000,Leinster,Ireland,Wicklow,Wicklow,"https://maps.google.com/?daddr=52.946562,-6.33326",,134.00,1016.20,239.00,false,0,
Ballinacurra,,51.89704800,-8.15047700,Munster,Ireland,Cork,Cork,"https://maps.google.com/?daddr=51.897048,-8.150477",https://twitter.com/ballinacurragaa,18.00,1312.00,245.00,false,0,
Ballinacurra Gaels,,52.64409600,-8.63650700,Munster,Ireland,Limerick,Limerick,"https://maps.google.com/?daddr=52.644096,-8.636507",https://twitter.com/ballinacurrag,7.00,1099.30,259.00,false,0,
Ballinagh GAA,Ballinagh GAA Grounds,53.93067300,-7.41200800,Ulster,Ireland,Cavan,Cavan,"https://maps.google.com/?daddr=53.930673,-7.412008",https://twitter.com/Ballinagh,68.00,997.43,293.00,false,0,
Ballinaglera GAA,,54.15962600,-8.01436000,Connacht,Ireland,Leitrim,Leitrim,"https://maps.google.com/?daddr=54.159626,-8.01436",https://twitter.com/glera_gaa,58.00,1327.60,287.00,false,0,
Ballinagore,,53.41442400,-7.44725500,Leinster,Ireland,Westmeath,Westmeath,"https://maps.google.com/?daddr=53.414424,-7.447255",,85.00,935.50,261.00,false,0,
Ballinahinch,,52.79029800,-8.31446900,Munster,Ireland,Tipperary,Tipperary,"https://maps.google.com/?daddr=52.790298,-8.314469",https://twitter.com/ballinahinchgaa,70.00,1143.90,261.00,false,0,
Ballinakill,,52.88069500,-7.30833400,Leinster,Ireland,Laois,Laois,"https://maps.google.com/?daddr=52.880695,-7.308334",https://twitter.com/ballinakill_gaa,154.00,875.40,257.00,false,0,
Ballinameela,,52.10238800,-7.77988100,Munster,Ireland,Waterford,Waterford,"https://maps.google.com/?daddr=52.102388,-7.779881",https://twitter.com/Ballinameela,15.00,1272.00,249.00,false,0,
Ballinameen GAA,,53.90798300,-8.30279500,Connacht,Ireland,Roscommon,Roscommon,"https://maps.google.com/?daddr=53.907983,-8.302795",https://twitter.com/Ballinameen_GAA,81.00,1114.60,272.00,false,0,
Ballinamere,,53.29237800,-7.56426200,Leinster,Ireland,Offaly,Offaly,"https://maps.google.com/?daddr=53.292378,-7.564262",https://twitter.com/ballinameregaa,61.00,931.30,260.00,false,0,
Ballinascarthy,Henry Ford Park,51.66667800,-8.83162100,Munster,Ireland,Cork,Cork,"https://maps.google.com/?daddr=51.666678,-8.831621",https://twitter.com/bealnascairte,45.00,1449.20,256.00,false,0,
Ballinasloe GAA,,53.32510600,-8.23354600,Connacht,Ireland,Galway,Galway,"https://maps.google.com/?daddr=53.325106,-8.233546",https://twitter.com/BallinasloeGAA,50.00,967.00,262.00,false,0,
Ballina Stephenites GAA,James Stephens Park,54.11122000,-9.16223000,Connacht,Ireland,Mayo,Mayo,"https://maps.google.com/?daddr=54.11122,-9.16223",https://twitter.com/NaStiofanaigh,15.00,1268.40,293.00,false,0,
Ballincollig,,51.89266800,-8.58842700,Munster,Ireland,Cork,Cork,"https://maps.google.com/?daddr=51.892668,-8.588427",https://twitter.com/ballincolliggaa,13.00,1271.00,243.00,false,0,
Ballinderreen GAA,,53.18329000,-8.90716000,Connacht,Ireland,Galway,Galway,"https://maps.google.com/?daddr=53.18329,-8.90716",https://twitter.com/ballinderreen,17.00,1158.00,275.00,false,0,
Ballinderry Shamrocks,Shamrock Park,54.65964500,-6.55892100,Ulster,United Kingdom,Derry,Derry,"https://maps.google.com/?daddr=54.659645,-6.558921",https://twitter.com/BallinderryGAC,26.00,906.98,288.00,false,0,
Ballingarry,O'Sullivan Park,52.58617800,-7.54435600,Munster,Ireland,Tipperary,Tipperary,"https://maps.google.com/?daddr=52.586178,-7.544356",https://twitter.com/ballingarry_gaa,191.00,967.60,252.00,false,0,
Ballinhassig,Pitch 1,51.81120700,-8.52916000,Munster,Ireland,Cork,Cork,"https://maps.google.com/?daddr=51.811207,-8.52916",https://twitter.com/ballinhassiggaa,32.00,1277.30,237.00,false,0,
Ballinhassig,Pitch 2,51.80670000,-8.53628000,Munster,Ireland,Cork,Cork,"https://maps.google.com/?daddr=51.8067,-8.53628",https://twitter.com/ballinhassiggaa,55.00,1319.70,244.00,false,0,
Ballinkillen,,52.64878500,-6.92797100,Leinster,Ireland,Carlow,Carlow,"https://maps.google.com/?daddr=52.648785,-6.927971",https://twitter.com/ballinkillenhc,105.00,1025.90,250.00,false,0,
Ballinlough GAA,,53.73388200,-7.05370700,Leinster,Ireland,Meath,Meath,"https://maps.google.com/?daddr=53.733882,-7.053707",https://twitter.com/ballinloughgaa,121.00,951.10,266.00,false,0,
Ballinora GAA,Waterfall,51.86417640,-8.55506430,Munster,Ireland,Cork,Cork,"https://maps.google.com/?daddr=51.8641764,-8.5550643",https://twitter.com/ballinoragaa,94.00,1269.78,264.00,false,0,
Ballinora GAA,,51.85375800,-8.56673900,Munster,Ireland,Cork,Cork,"https://maps.google.com/?daddr=51.853758,-8.566739",https://twitter.com/ballinoragaa,80.00,1277.30,237.00,false,0,
Ballinrobe GAA,Flanagan Park,53.61529700,-9.21160700,Connacht,Ireland,Mayo,Mayo,"https://maps.google.com/?daddr=53.615297,-9.211607",https://twitter.com/ballinrobegaa,28.00,1175.10,261.00,false,0,
Ballintubber GAA,Ray Prendergast Memorial Park,53.75756500,-9.30767500,Connacht,Ireland,Mayo,Mayo,"https://maps.google.com/?daddr=53.757565,-9.307675",https://twitter.com/ballintubberclg,33.00,1327.70,281.00,false,0,
Ballinure,,51.89383700,-8.39531200,Munster,Ireland,Cork,Cork,"https://maps.google.com/?daddr=51.893837,-8.395312",,4.00,1322.50,239.00,false,0,
Ballisodare GAA,,54.21340000,-8.52140000,Connacht,Ireland,Sligo,Sligo,"https://maps.google.com/?daddr=54.2134,-8.5214",,30.00,1281.50,291.00,false,0,
Ballivor GAA,,53.53142000,-6.96628600,Leinster,Ireland,Meath,Meath,"https://maps.google.com/?daddr=53.53142,-6.966286",https://twitter.com/ballivorf,66.00,860.30,253.00,false,0,
Ballon,,52.73540800,-6.79266500,Leinster,Ireland,Carlow,Carlow,"https://maps.google.com/?daddr=52.735408,-6.792665",https://twitter.com/ballongfc,85.00,859.00,246.00,false,0,
Ballybacon / Grange,Goatenbridge,52.27328200,-7.87117400,Munster,Ireland,Tipperary,Tipperary,"https://maps.google.com/?daddr=52.273282,-7.871174",https://twitter.com/ballybacong,34.00,1234.00,267.00,false,0,
Ballybay Pearse Brothers,Pearse Park,54.12625400,-6.87646000,Ulster,Ireland,Monaghan,Monaghan,"https://maps.google.com/?daddr=54.126254,-6.87646",https://twitter.com/PearseBrothers,79.00,949.10,258.00,false,0,
Ballyboughal GAA,,53.52526700,-6.26942200,Leinster,Ireland,Dublin,Dublin,"https://maps.google.com/?daddr=53.525267,-6.269422",https://twitter.com/ballyboughalgfc,43.00,805.50,243.00,false,0,
Ballybricken/Bohermore,,52.55042900,-8.49728800,Munster,Ireland,Limerick,Limerick,"https://maps.google.com/?daddr=52.550429,-8.497288",,81.00,1001.80,259.00,false,0,
Ballybrown,,52.63149000,-8.72877700,Munster,Ireland,Limerick,Limerick,"https://maps.google.com/?daddr=52.63149,-8.728777",https://twitter.com/ballybrowngaa,8.00,1055.40,257.00,false,0,
Ballybrown,,52.63613300,-8.73273100,Munster,Ireland,Limerick,Limerick,"https://maps.google.com/?daddr=52.636133,-8.732731",https://twitter.com/ballybrowngaa,7.00,1055.40,257.00,false,0,
Ballycastle GAA,Tom Langan Park,54.28824300,-9.35875000,Connacht,Ireland,Mayo,Mayo,"https://maps.google.com/?daddr=54.288243,-9.35875",https://twitter.com/ballycgaa,20.00,1334.90,299.00,false,0,
Ballyclough,Dr Croke Park,52.17739300,-8.72864100,Munster,Ireland,Cork,Cork,"https://maps.google.com/?daddr=52.177393,-8.728641",https://twitter.com/gaaballyclough,93.00,1025.10,252.00,false,0,
Ballycommon,,53.28363400,-7.36518500,Leinster,Ireland,Offaly,Offaly,"https://maps.google.com/?daddr=53.283634,-7.365185",https://twitter.com/ballycommongaa,80.00,884.20,249.00,false,0,
Ballycomoyle,,53.72358200,-7.29739300,Leinster,Ireland,Westmeath,Westmeath,"https://maps.google.com/?daddr=53.723582,-7.297393",https://twitter.com/ballycomoyle,103.00,942.90,267.00,false,0,
Ballycroy GAA,Ballycroy,54.02821300,-9.82625200,Connacht,Ireland,Mayo,Mayo,"https://maps.google.com/?daddr=54.028213,-9.826252",https://twitter.com/ballycroyg,22.00,1896.30,305.00,false,0,
Ballycumber,,53.33352500,-7.70648000,Leinster,Ireland,Offaly,Offaly,"https://maps.google.com/?daddr=53.333525,-7.70648",https://twitter.com/ballycumber_gaa,60.00,936.40,269.00,false,0,
Ballydesmond,,52.17835000,-9.23481500,Munster,Ireland,Cork,Cork,"https://maps.google.com/?daddr=52.17835,-9.234815",https://twitter.com/desmonds_gaa,189.00,1289.30,265.00,false,0,
Ballydonoghue,,52.48599400,-9.52090700,Munster,Ireland,Kerry,Kerry,"https://maps.google.com/?daddr=52.485994,-9.520907",https://twitter.com/ballydonoghue,41.00,1247.80,271.00,false,0,
Ballyduff,,52.45130700,-9.66994000,Munster,Ireland,Kerry,Kerry,"https://maps.google.com/?daddr=52.451307,-9.66994",https://twitter.com/ballyduffgaa1,42.00,1387.50,283.00,false,0,
Ballyduff Lower,Tom Cheasty Park,52.23456800,-7.29910000,Munster,Ireland,Waterford,Waterford,"https://maps.google.com/?daddr=52.234568,-7.2991",https://twitter.com/bdufflwr,55.00,1333.30,239.00,false,0,
Ballyduff Upper,Ballyduff Community Field,52.14140700,-8.05202200,Munster,Ireland,Waterford,Waterford,"https://maps.google.com/?daddr=52.141407,-8.052022",https://twitter.com/BallyduffUpper,28.00,1184.50,251.00,false,0,
Ballyea,,52.78712900,-9.02879200,Munster,Ireland,Clare,Clare,"https://maps.google.com/?daddr=52.787129,-9.028792",https://twitter.com/ballyea_club,14.00,1182.00,260.00,false,0,
Ballyfermot De La Salle GAA,,53.34348000,-6.34219800,Leinster,Ireland,Dublin,Dublin,"https://maps.google.com/?daddr=53.34348,-6.342198",,33.00,927.50,245.00,false,0,
Ballyfin,Cappinrush,53.05717000,-7.40628600,Leinster,Ireland,Laois,Laois,"https://maps.google.com/?daddr=53.05717,-7.406286",https://twitter.com/BallyfinGaa,112.00,965.50,256.00,false,0,
