Club Name,Recordings,Club Identifier
1.FC Dautenbach 1958 e.V,17,1fc-dautenbach-ev
1. FC Donzdorf Frauen/Mädchen,101,1-fc-donzdorf-frauenmadchen
1. FC Eichsfeld,102,1-fc-eichsfeld-von-2022-ev
Eintracht Erlach,19,1fc-eintracht-erlach
FFCK,31,1-ffc-kaiserslautern
1. FC Frankfurt,109,1-fc-frankfurt-ev-ev
1.FC Frankfurt - Nachwuchs,182,1fc-frankfurt-oder-ev-ev
FC Frickenhausen,123,1-fc-frickenhausen-e-v
GFC,35,1fc-gelnhausen
FC Bargau,27,1-fc-germania-bargau
1. FC Germania Ober-Roden,40,1-fc-germania-ober-roden
1. FC Gievenbeck 1949 e.V.,80,1-fc-gievenbeck-1949-ev-86c1e757
1.FC Greiz,47,1fc-greiz
1. FC Heiningen e.V.,32,1-fc-heiningen-ev
1.FC Heinsberg-Lieck,74,1fc-heinsberg-lieck
1.FC Heinsberg-Lieck 24/25,39,test-1-caac866e
1.FC Hohenacker,104,1fc-hohenacker-ev
1. FCK,66,1-fc-kaiserslautern
1. FC Kaiserslautern,58,1-fc-kaiserslautern-afd436d4
1. FC Kleve,16,1-fc-kleve-a703962d
1. FC Kleve,16,1-fc-kleve
1. FC Köln - Bundesliga Talent Squad,17,team-koln-warubi
1. FC Langen,108,1-fc-langen
1 FC Lauchhau-Lauchäcker,73,1-fc-lauchhau-lauchacker
1.FC Leibnitz,11,1fc-leibnitz-ed3be22c
1.FC Leibnitz,17,1fc-leibnitz
1. FC Lichtenfels,29,1-fc-lichtenfels
Lok Leipzig,171,1fc-lokomotive-leipzig
Lok,85,1fc-lok-stendal-ev
Fördervereins des 1.FC Magdeburg e. V.,283,1fc-magdeburg-c0086648
1. FC Magdeburg Frauen VEO1,212,magdeburger-ffc-ev
1. FC Magdeburg VEO3,32,christian-brachvogel
1. FC Mönchengladbach,99,1-fc-monchengladbach-1894-e-v
1. FC Mönchengladbach,79,1-fc-monchengladbach
1.FC Neubrandenburg 04,69,1fc-neubrandenburg-04
1. FC Neubrandenburg 04,105,1-fc-neubrandenburg-04-ev
FCN,47,1-fc-niederkassel
1.FC Normannia Gmünd,159,arthur-feil
1. FC Nürnberg,227,1-fc-nurnberg
1. FC Passau,12,1-fc-passau
RWN Handels GmbH,82,1fc-penzberg
Phoenix Luebeck,11,1-fc-phonix-lubeck
1. FC Rechberghausen,36,1-fc-rechberghausen
FC Rielasingen-Arlen,46,eak-bis-security-gmbh-cokg
1. FC Rimhorn e.V.,91,1-fuballclub-rimhorn-ev
1. FC Saarbrücken,53,1-fc-saarbrucken-de88a163
1. FC Saarbrücken e.V.,352,1-fc-saarbrucken-ev
1.FC Schöneberg,19,1fc-schoneberg
1. FC Schwalmstadt,32,1-fc-schwalmstadt
1.FC Schwand,23,1fc-schwand
1. FC Schweinfurt,75,1-fc-schweinfurt-1905
1.FC Slovácko ženy,181,1fc-slovacko
1. FC SLOVÁCKO  B,16,1-fc-slovacko-b
1.FC Slovácko žáci,160,1fc-slovacko-zaci
1. FC Sonneberg 2004 e.V,32,1-fc-sonneberg-2004-ev
1. FC Spich 1911 e.V.,110,1-fc-spich-1911-ev
1 FC Sport -Ring Solingen,42,sv-schlebusch
1.FC-TSG Königstein,49,1fc-tsg-konigstein-5c44ece6
1. FC Union Berlin,67,tennis-borussia-berlin-ev-new-c9810ac9
1.FC Viersen,83,1fc-viersen-46a474dc
1. FC Viktoria 07 e. V.,64,1-fc-viktoria-kelsterbach-e-v
Willy Wacker,48,1fc-willy-wacker-hechtsheim-1973
1. FC Wolfsburg Frauen,10,1-fc-wolfsburg-frauen
1. FC Žamberk,117,1-fc-zamberk
1. FFC Hof,57,1-ffc-hof
1. FFC Kaiserslautern,39,1-ffc-kaiserslautern-6cf8dfae
1.FFC Niederkirchen,89,1ffc-niederkirchen-1bc022f2
Turbine,303,sv-babelsberg-03-b5097657
Turbine Potsdam B2,45,1-ffc-turbine-potsdam-71-ev
Turbine,62,1ffc-turbine-potsdam-71-ev
1. FK Příbram,199,1-fk-pribram
1.FFV Erfurt,70,1frauenfuballverein-erfurt-ev
Mainz 05,92,1fsv-mainz-05-daa015bc
1. FC Monheim,73,football-club-monheim
1. FC Sonthofen,37,1-fuball-club-sonthofen
1. Göppinger SV,39,1-goppinger-sportverein-1895-ev
1G PERFORMANCE,982,1g-performance
1. HFK Olomouc,47,1-hfk-olomouc
1. HFK Olomouc - Uhrik,396,sk-hranice
1.JFS U14-II,120,rsv-u12
1. KFS Jihoceskeho kraje,59,kfs-jihoceskeho-kraje
1. KFS Vysocina,157,kfs-vysocina
1. Männer SVZ,45,1-manner-svz
1. Mannschaft FC Lommiswil,37,1-mannschaft-fc-lommiswil
1. Mannschaft SG TA,48,1-mannschaft-sg-ta
1. PKFS,24,pkfs-7e58c54a
1.SC 1911 Heiligenstadt,69,1sc-1911-heiligenstadt
1. SC Bohumin 98,143,1-sc-bohumin-98
1. SC BW Wulfen,11,1-sc-bw-wulfen
1.SC Feucht,206,fsv-erlangen-bruck-fa3e8a6f
1.SC Gröbenzell,35,1sc-grobenzell
1.SC Znojmo FK,53,1sc-znojmo-fk
SKFS,295,skfs
1. SKFS - VEO3,10,fk-slavoj-stara-boleslav
1 Sporti,25,alfeiran-7c335a75
1st Bangor FC,101,1st-bangor-old-boys-fc
1st Club House,70,1st-club-house
1St Josephs U9 reds,53,gpr-civil-engineering-ltd-19e8391b
London Welsh RFC,141,cai-griffiths
1V1,127,1v1-futbol-dreams-academy
1. VEO Granit,24,football-27a9db42
2005 Bentonville FC Prodigy,217,2005-bentonville-fc-prodigy
JB Marine SC,182,2006-garabedian
Team Boca 2006 E64,78,2006-u17-elite-64-national-league-team-boca
2007 Girls Force White,16,2007-girls-force-white
07 Lady Eagles,84,eagle-express-soccer-club-2007-lady-eagles
2008 Age IL GAMES,68,fc-maccabi-netanya
Snohomish United 2008 ECNL,73,snohomish-united-2008-ecnl
Private,372,b-1908-2
Lakeshore,55,lakeshore-soccer-club-16
Miami Rush Kendall,52,x-2f0e0415
2008-Juventus,40,2008-impact-3fb135fd
Nona Soccer Academy,52,nona-soccer-academy-94bc3eed
2008 XF Boys ECNL-RL,20,crossfire-424c90c0
2009,28,ohio-elite-rl-09
2009 AYSO GIRLS,74,azev-clarkg09
2009 Blue,39,2009-blue
Blues,39,2009-blues-fc-pre-npl
Cobras,128,cooper-city-cobras-74468bf0
2009 G ECNL-R FWFC,57,2009-girls-ecnl-r-florida-west-fc
‘09 FUSION PAG,52,2009-girls-kc-fusion-pre-academy
2009 GSSC,19,gssc
2009 HP1 Boys,58,2009-hp1-boys
Lobos Rush,23,2009-ladies-lobos-rush
09Flags,98,2009-port-huron-flags
2009 PRFC MLS BOYS,19,2009-prfc-mls-boys
2009s - FC Bay Area Surf,104,fc-bay-area-surf-2
2009 Stars White,42,2009-stars-white
2010 AYSL BOYS,34,2010-aysl-boys
2010 Azzurri Boys,35,2010-azzurri-boys
2010 Blackhawks,58,2010-blackhawks
2010 Boys,139,cfc-navy
2010 Boys premier,21,raul-lucero
2010 Cyclones Boys Black,69,cape-coral-cyclones-5
2010 EV MCMULLIN,36,2010-ev-mcmullin
2010 Germantown Legends ECNL,151,germantown-legends-vc2-beta
Player Development Academy,143,player-development-academy-3
Sporting Beat,88,sporting-bentonville-ar
2010G National ECNL,87,real-colorado-223fb4f0
2010 G RSL EAST EL PASO DPL,13,2010-g-rsl-el-paso
2010 Rouge - Private VEO,37,2010-rogue-private-veo
2010 Placer United ECNL-RL,125,sierra-surf
FCF,152,2010-rohelised
San Juan SC 2010 ECNL,146,2010-san-juan-pre-ecnl
Tampa Bulls,25,2010-tampa-bulls
2011B,77,2011b
2011 Blast Girls,39,2011-blast-girls
2011 CVPG,51,2011-cache-valley-premiere-girls
2011 CISC Girls Elite,229,rush-cook-inlet-soccer-club
2011DPL Girls,82,george-stokes
2011 FE ECNL,102,florida-elite-ecnl-1-dev-1
2011 G ECNLRL 2024_2025,76,2011-g-ecnlrl
2011 Girls Green,120,dublin-united-soccer-league-75aeba9c
2011 JASA Coastal Surge G,50,jacksonville-area-soccer-association-e71ed113
2011G Premier I,71,gu12-premier-i-and-ii
2011 Lobos Rush ECRL,38,2011-lobos-rush-ecrl
2011 Magic Elite,16,fc-richmond-b4354bcc
2011 Maudlin,32,2011-maudlin
2011 MLS,234,orlando-city-youth-soccer-252e9ab7
2011B MUSA Flyers,42,2011-musa-flyers-boys
2011 Swan City Soccer Club,60,2011-tropics
2012 Boys - San Diego,13,2012-boys-san-diego-22bcd050
2012 Boys - San Diego,122,2012-boys-san-diego
2012 Boys team,64,2012-boys-team
2012 CSA LIVE,75,2012-csa-live
2012 Dash City North,48,2012-dash-city-north
CUP North 1,36,2012g-cup-north-1
2012G ECNL,35,rocklin-fc
2012 Girls Gold,108,joshua-etchegoyhen
2012G SLA United,93,2012-girls-south-la-united
2012G Surf Pool,12,2012g-surf-pool
PSA Monmouth,32,2012-psa-monmouth-elite
2012 Showcase,85,2012-premier-pool
2012 Team-Miami Futbol Academy Rush,25,miami-rush-u13
2013B FC Dallas Medina,47,fc-dallas-9d01eea5
2013 boys,74,2013-boys
2013 Cape Coral Cyclones U11 Girls Black,40,2013-cape-coral-cyclones-u11-girls-black
2013 Cedar Stars Bergen,288,nesa-2013-elite-boys
Colonial Soccer Club,45,2013-colonial-cannons-red
2013 Crusaders AAA,16,2013-crusaders-aaa
2013 Davis Legacy Pre ECNL,29,2013-davis-legacy-pre-ecnl
2013 Elite Boys,137,georgia-impact-2013b
2013 Girls Green,34,jenny-hauzer
Tampa Bay United,30,jackson-fc
Pats,16,2013-hb-patadores
2013 Northstars,42,vikings-hockey-hamilton
Rangers,60,2013-pasc-rangers-c70d0597
2013 Pre ECNL,58,tsc-premier-white
2013 Prime Pink,55,prime-88d3bc35
2013 Purple Rain,53,2013-purple-rain-purple-4b7fdd53
2014 and 2015 TFA,350,2014-and-2015-tfa
2014B,19,2014b
2014 Bay Area Surf,50,2014-bay-area-surf
2014 Brustad Royals,81,real-salt-lake-c82eb4ad
Sparta United,44,sparta-2014-sb
2014G TSJFCV-JCK,11,2014g-jck
2014G Mustang Pre-ECNL,238,mustang-3d4f8a8c
2014 MSA,30,2014-cr
Next Level,77,2014-next-level-girls
2014 Next Level Red,35,nos-santos-d33270ba
2014 Paris FC Boys Red Team,10,2014-paris-fc-boys-red-team
2014 Select,127,2014-select
Spartan Hockey,69,2013-spartan-hockey-club
FC Dallas,96,fc-dallas-17e97ae6
TKO,77,2014-tko-beasts
2015B-CU/GSF,26,banner
2015 Boys CCV Stars SUR,51,2015-boys-ccv-stars-sur
CCSA,77,ccsa
2015 Major O2 Grizzlies Hockey Team,46,2015-major-o2-grizzlies-hockey-team
2015s,22,raidersmagic
2016 Boys Green,24,2016-boys-green
2020 NBA Draft,41,2020-nba-draft
2021 GBA National Hoop Series IV,118,2021-gba-national-hoop-series-iv
2021 Jaguars Boys Winter Showcase,29,2021-jaguars-boys-winter-showcase
2021 NorCal College Showcase,35,2021-norcal-college-showcase
2021 Super Y National Finals,92,super-y-national-finals-21
2021 WYS Founders Cup,45,2021-wys-founders-cup
2022,48,nienaber-rockets
2022 NorCal Spring College Showcase,183,2022-norcal-spring-college-showcase
2023,104,pagewood-botany-fc
2023/24 Rugby Club at USF,11,202324-rugby-club-at-usf
2023 Delta Girls Soccer,32,delta-girls-soccer
2024,34,west-coast-extreme
2024-2025,42,home-ffcca0c1
2024-2025,217,burlingame-soccer-club
2024-2025 Soccer Season,37,edgewoodredwolves
2024/25 Phoenix Rising Season,90,2023-phoenix-rising-season
2024/5-U9s,117,am-u8s-veo
2024 HS,17,2024-hs
2024 SM Surf Gothia Cup Team,10,wildwood-wolves
2025 Season,48,fpfc
FBC Reign,95,2027-fbc-reign
2029 Madlax Capital,145,2029-madlax-capital
2030 Hawks Black,12,2030-hawks-black-45be29c7
2030 Mixers,33,annapolis-hawks-e5f461ff
Conrow,243,cannons-select-lacrosse
204653106,10,204653106
210FC,37,210fc
210 FC,84,bvb-international-academy-satx-2
21855427548561,14,21855427548561
21867825319953,35,21867825319953
21916806128017,23,21916806128017
Kliebert,54,albion-hurricanes-fc-7fd34d6a
22nd Old Boys,29,22nd-old-boys-football-club
23-24 Adams County Christian School,30,adams-county-christian-school
247 Football Club Soar,15,247-football-club-soar
24-7 UK Soccer Academy (CVSC),213,24-7-uk-soccer-academy
24/8,26,248
24seven sport,14,akyol-teamsport
253 Lax,280,253-lacrosse
26 de Febrero,25,26-de-febrero
27d57,41,1-88a33af4
2-ASD ACCADEMIA MARIGNANESE,28,2-asd-accademia-marignanese
2besecured facility Management GmbH,39,2besecured-facility-management-gmbh-18a725c9
2 de mayo,322,2-de-mayo
2 licencias,37,cesar-castro-2
2ND Camera - Broadbeach United Soccer Club,16,2nd-camera-broadbeach-united-soccer-club
2 Sporti,26,alfeiran-12a4bae2
2SV SPORTS & EDUCATION,152,2sv-sports
2Touch,68,2touch-fc
301 Elite,32,301-elite
305 FC,378,305-fc
30A Lacrosse Club,44,30a-lacrosse-club
3:23,217,323-athletics
336,62,336-lacrosse-club
345 FC,146,total-soccer-cayman
+34 607 38 33 51,13,34-607-38-33-51
34 alumni football teams,57,34-alumni-football-teams
360 Soccer Centre,134,360-soccer-centre-687afd25
360 Talent FC,43,360-talent-fc
360 Talent Football Club,48,360-talent-football-club
360TFT,77,360tft
3 & D Hoops,1094,team-flash-basketball
3a RFEF,31,3a-rfef
3D,386,3d-basketball-academy
3D Maryland,22,3d-maryland-bcc2fe1d
3D Maryland 2027,145,renegades-2027
3DBU,11,3d-worldwide
3FCAcademy,87,3fcacademy
3 FK Fylkir,14,3-flokkur-karla-fylkir
3G projects,24,3g-projects
3Lions FC,82,3lions-fc-cc05e335
3M3,40,chatham-football-club
3 Point Girls 28,12,personal-owner
3rd Lens,17,3rd-lens
3R Spartacus Amatőr FC,57,3r-spatacus-amator-fc
3 Sporti,62,alfeiran-09aecd76
3V SPORTS,169,united-futbol-academy-16
406 Lacrosse,38,406-lacrosse-llc
423 Elite,79,423-elite
433 Academy,103,433-abf4eae9
460 Lacrosse,185,460-lacrosse
49er United,28,49er-united
4 Cam DSFC Clubhouse,86,dungannon-swifts-fc-8b48f532
4Cantera,18,progress-cantera-2
4 Cantons BHAP,120,4-cantons-bhap
4CORNERSPORT,32,4cornersport-87d83af4
4 CUATRO DOIS,46,4-cuatro-dois
4ORWARD PTY LTD,128,mpfc_u11-boys-2023-ha-football-club
4_SFI,28,4_sfi
4 Sporti,23,alfeiran-0d71e0f4
4 State Hockey Club,23,4-state-hockey-club
515 Soccer Academy,68,515-soccer-academy
5280 Athletic SC,25,5280-athletic-sc
5280 SS,20,hawks-988e11a3
556,53,fc-21508ffb
"(5G) O Elvas CAD, Futebol SAD",31,o-elvas-clube-alentejano-de-desportos-futebol-s
5_SFI,14,5_sfi
5 Sporti,58,alfeiran-5b09edd0
5v5 Soccer,111,vorce
5v5 Sydney,56,5v5-sydney
Coastal FC 2,138,coastal-fc-101ffe4c
6235233125,37,6235233125
6_SFI,31,6_sfi
6 Star Lacrosse Club,15,6-star-lacrosse-club
757 Colts 14u,12,757-colts-14u
77,19,77-g
7 Elite,17,7-elite-760f8025
7 Elite Academy.,52,7-elite-academy-a3c3f3dc
7 Elite,36,7-elite-academy-06g-north
7 Elite Academy,28,7-elite-academy-06g-north-red
7 Elite Academy,252,7-elite-academy-uk
7th Grade Shadle Park Highlanders,60,6u-spokane-highlanders
801 Basketball,428,sentinelsbc
801 Tribe,10,801-tribe
805 FC,137,805-football-club
86 Sports,36,86-sports
8704240194,16,8704240194-2
8800 Cherry Blossom RD,26,8800-cherry-blossom-rd
8BY8 Football Ltd,27,8by8-football-ltd
Dixie Flyers,31,dixie-flyers
90+,24,90
91 Carolina,180,91-carolina
956 United,112,956-united-girls-under-12
956 United 8a,154,956-united
970 SPORTS,92,sports-photo-video
a,15,a-067509ce
축구의신(A),556,fbe4
우리풋살파크(A),289,fbe3
A21,66,a21
A27.,99,a27-4920b862
A27 Talent Akademi,63,a27-talent-akademi-2378a091
A3,273,a3
A3,120,a3-11
A3 RANGERS,106,a3-rangers
A3 Soccer,15,a3-soccer-8cb94258
A3 Soccer,161,a3-soccer-4
aa,15,aa-fd56438a
A,20,aa
Aaaaa,44,aaaaa-2
AAA BLUES 2012 Hockey,16,aaa-blues-2012-hockey
AaB,1000,aab
Aab af 1885,588,aab-1885
Aabenraa BK,25,aabenraa-boldklub-ee20b43a
AaBK,51,aabenraa-boldklub-de9ee04a
AaB kvinde/pige afd.,499,aab-kvindepige-afd
Aabybro HK,209,test-fc-3
Aabybro IF,11,aabybro-if-a169e94a
Åbyhøj Basketball,22,aabyhoej-if-basketball
AAC Academy,212,aac-academy
AAC academy 2,91,aac-academy-343ab628
AAC Eagles Chicago Soccer Academy,274,aac-eagles-chicago-soccer-academy
AAC Rugby - VC2,29,aac-rugby-bdeee704
AAC Rugby - VC3,16,aac-rugby-new-software
AAE DORIGNIES DOUAI,38,us-mineurs-waziers
A.A.F.C,190,sgrum018
AAFK Fortuna,22,aafk-fortuna-833ede8a
Aakanden GF,44,aakanden-gf
Aalborg Chang,101,aalborg-chang-ca96868d
Aalborg 1337,70,aalborg-1337-2
Aalborg Freja,115,aalborg-freja
AHK,22,aalborg-hk
Aalborg KFUM Fodbold,164,aalborg-kfum-fodbold-4
AASI Håndbold,22,aalborg-studenternes-if
Huima,225,aanekosken-huima
Aannemingsbedrijf Van der Meer B.V.,28,aannemingsbedrijf-van-der-meer-bv
Aarhus 1900 Fodbold,88,aarhus-1900-fodbold
Aarhus Black Vipers,74,aarhus-black-vipers
Aarhus Fodbold Akademi,22,aarhus-fodbold-akademi
Aarhus Fremad,406,aarhus-fremad-aps
AGF,21,aarhus-gymnastik-forening-3
Aarhus Rugby Klub,60,aarhus-rugby-klub-2
BELSTONE FC,165,aaron-lincoln
Aaron Rodriguez,261,fc-premier-women
Aaron's,23,mln-jh
A-Aron Veo,35,westerfield-family
Aars HK,195,aars-haandboldklub
Aars Idrætsklub,163,aars-idraetsklub
Aarup Boldklub Håndbold,170,aarup-bk-haandbold
Aaryav's Team,170,crossfire-premier-7
Aas Fresnes,25,aas-fresnes
aas fresnes rugby,20,aas-fresnes-rugby
aassbb,129,aas-sarcelles-basketball
AASS FOOTBALL,32,aass-football
AASS FOOTBALL,24,aass-football-f9865f01
AATA,60,aata
AAVSC - RECREATIONAL,185,adelaide-atletico-football-club
AB,10,ab-77
AB,287,ab-99
AB7,41,ab7-soccer-academy
Abadiño,30,abadino-ce079313
Abambres Sport Club,61,abambres-sport-club
Self-employed,74,self-employed
Abanto,15,federacion-vizcaina-de-futbol
Abanto,50,abanto
Abbey FC,95,abbey-fc
Abbeyfeale RFC,40,abbeyfeale-rfc
Abbey Gate College,42,abbey-gate-college
Abbey Hey Fc,179,abbey-hey-fc
Abbey Hey JFC,26,abbey-hey-jfc
Abbey Hulton Utd,19,abbey-hulton-utd
Abbey lane jfc,15,abbey-lane-jfc-070c121c
ARFC,146,arfc
Abbey rangers,82,abbey-rangers-fc-e69354dc
Abbey Rangers,210,abbey-rangers-football-club
Abbey RFC,60,abbey-rfc
Abbeyview fc,10,antrim-eagles
Abbey Villa Football Club,68,abbey-villa-football-club
Abbey Villa SC,10,abbey-villa-soccer-club
Abbey Youth,13,abbey-youth-8fa0a849
Pumas,25,abbey-youth-football-club
Abbey Youth Football Club,74,abbey-youth-football-club-b661895e
Abbie C,58,atalanta-sports-fc
Abbotsford Rugby,178,abbotsford-rugby-football-club
Abbotsford Soccer Association (ASA),19,abbotsford-soccer-association-asa
Abbotsford Soccer Association BCSPL,10,abbotsford-soccer-association-bcspl
Abbotsford United 2010 Selects,74,josephine-leonard
ABC Braník,65,abc-branik-276d0470
ABC-Team,37,abc-team
Iissi,35,abdelhadi-iissi
Abdi,12,abdinasir
El Farri,137,abdoulmajid
ABECAT OUVIDORENSE,12,abecat-ouvidorense-4e2666c7
Abed Gaouaou,15,abed-gaouaou
Abe Hurtado - East Valley 12/13 girls,40,new-east-valley-2012
AbelTech Photography,244,milan-academy-b07
Aberavon Green Stars RFC,80,aberavon-green-stars-rfc
